"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName"
"Executive","CN=Dan Jump","True","Dan","danj@contoso.com",,"Dan Jump","user","b7de08a6-8417-491b-be62-85945a538f46","(425) 555-0179","danj","S-1-5-21-331390976-2650875657-2422772959-1705","Jump","Jump","CEO",
"Operations","CN=Adam Barr","True","Adam","adamb@contoso.com","CN=Dan Jump","Adam Barr","user","7846c22f-d3d8-4e02-8b62-d055d0284783","(206) 555-5472","adamb","S-1-5-21-331390976-2650875657-2422772959-1706","Barr","Barr","General Manager of Professional Services",
"Project Management","CN=Alan Steiner","True","Alan","alans@contoso.com","CN=Adam Barr","Alan Steiner","user","5ff9eed7-6b0d-4b20-bed5-b0b904191880","(206) 555-2443","alans","S-1-5-21-331390976-2650875657-2422772959-1707","Steiner","Steiner","Director of Project Management Team",
"Project Management","CN=Chris Norred","True","Chris","chrisn@contoso.com","CN=Alan Steiner","Chris Norred","user","72d2b1b2-1f94-4d3a-be01-c327e35c72b6","(206) 555-1931","chrisn","S-1-5-21-331390976-2650875657-2422772959-1708","Norred","Norred","Project Manager",
"Operations","CN=Diane Tibbot","True","Diane","dianet@contoso.com","CN=Adam Barr","Diane Tibbot","user","f04f136b-df92-46bf-a161-f2990a823694","(206) 555-9327","dianet","S-1-5-21-331390976-2650875657-2422772959-1709","Tibbot","Tibbot","CFO of Professional Services",
"Engineering","CN=Christine Koch","True","Christine","christk@contoso.com","CN=Adam Barr","Christine Koch","user","bfb3de68-ea0c-4087-a0c8-176f83b674e3","(206) 555-2987","christk","S-1-5-21-331390976-2650875657-2422772959-1710","Koch","Koch","Managing Director",
"Executive","CN=Frank Martinez","True","Frank","frankm1@contoso.com","CN=Dan Jump","Frank Martinez","user","8724dd1b-c401-4487-9ea8-4c224ef67710","(425) 555-0121","frankm1","S-1-5-21-331390976-2650875657-2422772959-1711","Martinez","Martinez","COO",
"Accounting","CN=Karim Manar","True","Karim","karimm@contoso.com","CN=Diane Tibbot","Karim Manar","user","7db937b4-a31a-448f-bc54-7b871e609506","(206) 555-4156","karimm","S-1-5-21-331390976-2650875657-2422772959-1712","Manar","Manar","Controller",
"Sales","CN=Dan Park","True","Dan","danp@contoso.com","CN=Adam Barr","Dan Park","user","242f6e15-e469-4e42-9510-0483f6d019c9","(713) 555-6563","danp","S-1-5-21-331390976-2650875657-2422772959-1713","Park","Park","Vice President NA Sales",
"Executive","CN=Jeff Hay","True","Jeff","jeffh@contoso.com","CN=Frank Martinez","Jeff Hay","user","0b23837b-8fdb-4edf-a50b-325ed0625086","(425) 555-0187","jeffh","S-1-5-21-331390976-2650875657-2422772959-1714","Hay","Hay","CVP of Operations",
